Sl No ,REGISTERED DISTRICT ,Registered PS ,FIR No. ,TRANSFERRED DISTRICT ,Transferred PS ,Re registered FIR No. ,Reason for transferring FIR 
15,RAKABGANJ ,0374/2016 ,,CHHATTA ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
16,RAKABGANJ ,0167/2017 ,,SADAR BAZAR ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
17,RAKABGANJ ,0173/2017 ,,SAIYAN ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
18,SADAR BAZAR ,0548/2016 ,,RAKABGANJ ,0188/2016 ,घटना स्थल थाना रकाबगंज क्षेत्र का होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
19,SHAMSHABAD ,0219/2015 ,,NIBOHARA ,,एस आर केस होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
20,SHAMSHABAD ,0221/2015 ,,NIBOHARA ,,एस आर केस होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
21,SHAMSHABAD ,0222/2015 ,,NIBOHARA ,,एस आर केस होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
22,SHAMSHABAD ,0169/2016 ,,NIBOHARA ,,गैंगस्टर एक्ट होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
23,SHAMSHABAD ,0430/2016 ,,NIBOHARA ,,वािी एसओ शिशाबाि स्वयं होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
24,HARI PARVAT ,0177/2016 ,,RAKABGANJ ,0140/2016 ,घटना स्थल थाना रकाबगंज क्षेत्र का होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
25,,IRADAT NAGAR ,0135/2015 ,AGRA ,KHERAGARH ,,SHO स्तर की बववेचना होने के कारण श्रीिान श्रत्रे ामधकारी के आिेशानुसार बववेचना SHO खेरागढ को स्थानान्तरण की गयी। 
,,,,,,,
26,,KOTWALI ,0081/2015 ,,CHHATTA ,,थाना क्षेत्र के बाहर 
,,,,,,,
,,,,AGRA ,,,
,,,,,,,
27,KOTWALI ,7001/2016 ,,JAGDISHPURA ,,घटना स्थल थाना जगिीशपुरा का होना ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
28,KOTWALI ,7001/2017 ,,HARI PARVAT ,,घटनास्थल थाना हरीपवतट आगरा का होना ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
29,,KHERAGARH ,0000/2016 ,ALIGARH ,GANDHI PARK ,,ि 0ु अ 0 स 0ं 8 7 / 1 5 ध ा र ा 3 7 9 भ ा ि ब व क ा अ प र ा ध थ ा न ा ग ा ं ध ी प ा क ट न्जला अमलगढ िें पंजीकृत होने के कारण बरािि िाल का सम्बन्ध होना । इसमलए बववेचना गांधीपाकट िें स्थानान्तररत हकया गया है । 
,,,,,,,
30,ETMADPUR ,0401/2015 ,HATHRAS ,HATHRAS KOTWALI ,,अमभयोग का संबन्ध थाना हाथरस कोतवाली से होने के कारण श्रीिान् वररष्ठ पुमलस अधीक्षक िहोिय के आिेशानुसार बववेचना स्थानान्तररत ,
,,,,,,,
31,,HARDUAGANJ ,0255/2015 ,,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण 
,,,,,,,
,ALIGARH ,,,ALIGARH ,,,
,,,,,,,
,,,,,,,
32,CIVIL LINES ,0515/2015 ,,QWARSI ,,घटनास्थल थाना क्वासी का होना पाया गया ,
,,,,,,,
,,,ALIGARH ,,,,
,,,,,,,
33,,CHHARRA ,0141/2015 ,ALIGARH ,GANGIRI ,,घटनास्थल थाना क्षेत्र गंगीरी का होने के कारण 
,,,,,,,
34,CHHARRA ,0144/2015 ,ALIGARH ,GANGIRI ,,घटनास्थल थाना गंगीरी से सम्बंमधत होने के कारण ,
,,,,,,,
35,ATRAULI ,0628/2015 ,ALIGARH ,CHHARRA ,0041/2016 ,वािी और प्रमतवािी िोनों छराट के रहने वाले है। ,
,,,,,,,
36,BANNADEVI ,0381/2015 ,ALIGARH ,DELHI GATE ,,उच्चामधकारीगण के आिे शानुसार ,
,,,,,,,
37,BANNADEVI ,0382/2015 ,ALIGARH ,DELHI GATE ,,घटनास्थल थाना िेहलीगेट से सम्बन्न्धत ,
,,,,,,,
38,BANNADEVI ,0393/2015 ,ALIGARH ,DELHI GATE ,,घटनास्थल थाना िेहलीगेट से सम्बन्न्धत होने के कारण ,
,,,,,,,
39,BANNADEVI ,0317/2016 ,ALIGARH ,LODHA ,,िुलन्जि का थाना लोधा िें पकडे जाना ,
,,,,,,,
40,BANNADEVI ,0320/2016 ,ALIGARH ,SASNI GATE ,,घटना स्थल थाना सासनी गेट का पाया गया। ,
,,,,,,,
41,BANNADEVI ,0434/2016 ,ALIGARH ,GANDHI PARK ,,घटना स्थल थाना गााँधी पाकट ,
,,,,,,,
42,BANNADEVI ,0435/2016 ,ALIGARH ,GANDHI PARK ,,घटना स्थल गााँधी पाकट का होना ,
,,,,,,,
43,SASNI GATE ,7003/2017 ,ALIGARH ,GABHANA ,,सहवन िसु रे थाने पर िे िेने का कारण ,
,,,,,,,
44,SASNI GATE ,7004/2017 ,ALIGARH ,GABHANA ,,सहवन िसु रे थाने िें जिा होना ,
,,,,,,,
45,BANNADEVI ,0398/2016 ,RAMPUR ,MILAK ,,घटनास्थल मिलक जनपि रािपुर का होने के कारण ,
,,,,,,,
46,ALLAHABAD ,CIVIL LINES ,0577/2014 ,ALLAHABAD ,COLONALGANJ ,,िुकििा उपरोक्त िें से बरािि िो0सा0 थाना कनलट गंज के िुकििें से सम्बन्न्धत है । अतः थाना स्थानीय का िुकििे की बववेचना थाना कनलट गंज से होगी । 
,,,,,,,
47,CIVIL LINES ,0759/2014 ,ALLAHABAD ,DHOOMANGANJ ,,मचक 759/14 अ0स0ं 812/14 सहायक पुमलस अधीक्षक/क्षेत्रामधकारी नगर हितीय इलाहाबाि हिनांक 17.12.2014 को थाना धिू नगंज आवंहटत हकया गया ,
,,,,,,,
48,CIVIL LINES ,0298/2015 ,ALLAHABAD ,CANTT ,,सहायक पुमलस अधीक्षक/क्षेत्रामधकारी नगर हितीय जनपि इलाहाबाि के आिेश से बववेचना हिनांक 31.5.15को थाना कैण्ट को आंवहटत हकया गया है । ,
,,,,,,,
49,CIVIL LINES ,0471/2015 ,ALLAHABAD ,MEJA ,,वररष्ठ पुमलस अधीक्षक इलाहाबाि के आिेश संख्या वाचक /SSP/A71/2016 हिनांक 22.1.2016 के िारा बववेचना थाना िेजा को स्थानान्तररत हकया गया । ,
,,,,,,,
50,CIVIL LINES ,2170/2015 ,ALLAHABAD ,CANTT ,,वररष्ठ पुमलस अधीक्षक इलाहाबाि के आिेश संख्या वाचक /SSP/A71/2016 हिनांक 12.5.2016 को थाना कै ण्ट को आवंहटत हकया गया । ,
,,,,,,,
51,CIVIL LINES ,0329/2016 ,ALLAHABAD ,KHULDABAD ,,िुकििा से सम्बन्न्धत िाल बराििी के कारण थाना खल्ु िाबाि को बववेचना स्थानान्तरण की गई ,
,,,,,,,
52,CIVIL LINES ,0146/2017 ,ALLAHABAD ,CANTT ,0176/2017 ,घटना स्थल थाना कैण्ट का होने के कारण ,
,,,,,,,
53,HANDIA ,0261/2015 ,ALLAHABAD ,SARAI MEMREZ ,,उच्च अमधकारी/ किचट ारीगण िारा बववचेना थानाध्यक्ष सरायििरेज को िी गयी है। ,
,,,,,,,
54,KARELI ,7001/2016 ,ALLAHABAD ,KOTWALI ,,घटना स्थल कोतवाली थाने का होने के कारण ,
,,,,,,,
55,KHULDABAD ,0159/2015 ,ALLAHABAD ,MAHILA THANA ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
56,KHULDABAD ,0318/2015 ,ALLAHABAD ,MAHILA THANA ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
57,KHULDABAD ,0342/2015 ,ALLAHABAD ,KARELI ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
58,KHULDABAD ,0022/2016 ,ALLAHABAD ,MAHILA THANA ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
59,KHULDABAD ,0246/2016 ,ALLAHABAD ,KOTWALI ,,िुकििा उपरोक्त की बववेचना सम्बन्न्धत थाना प्रभारी िहोिय के िारा की जा रही है। ,
,,,,,,,
60,KHULDABAD ,0335/2016 ,ALLAHABAD ,KOTWALI ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
61,KHULDABAD ,0340/2016 ,ALLAHABAD ,MAHILA THANA ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
62,KHULDABAD ,0084/2017 ,ALLAHABAD ,COLONALGANJ ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
63,KHULDABAD ,0246/2017 ,ALLAHABAD ,KOTWALI ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है। ,
,,,,,,,
64,NAWABGANJ ,0396/2015 ,ALLAHABAD ,SORAON ,0508/2015 ,बववेचना थाना सोरांव से की जा रही है ,
,,,,,,,
65,SORAON ,0155/2016 ,ALLAHABAD ,SHIVKUTI ,,श्रीिान वररष्ठ् पुमलस अधीक्षक िहोिय के आिेशानुसार ,
,,,,,,,
66,DARAGANJ ,0125/2016 ,ALLAHABAD ,MAHILA THANA ,,बववेचना िहहला थाना स्थानान्तररत की गयी उच्चामधकाररयों के आिे शानुसार ,
,,,,,,,
67,GEORGE TOWN ,0258/2015 ,ALLAHABAD ,MAHILA THANA ,0259/2015 ,एस. एस. पी आिेश िारा ,
,,,,,,,
68,,MUTTHIGANJ ,0003/2016 ,ALLAHABAD ,MUTTHIGANJ ,,अन्य कारण 
,,,,,,,
69,CANTT ,0405/2016 ,MORADABAD ,CIVIL LINES ,,घटनास्थल जनपि िुरािाबाि थाना मसबवल लाइन्स होने के कारण ,
,,,,,,,
70,CIVIL LINES ,0355/2015 ,KAUSHAMBI ,PURAMUFTI ,,िा0न्या0CJMइलाहाबाििहोियके आिेशसेबववेचनाथाना पुरािुफ्ती जनपि कौशाम्बी स्थानान्तरण हिनांक 27.6.15 को हकया गया है । ,
,,,,,,,
71,DHOOMANGANJ ,0343/2017 ,KAUSHAMBI ,PURAMUFTI ,0235/2017 ,बववेचना के िौरान घटना स्थल ग्राि खजआलिपुर थाना,
,,,,,,पुरािुफ्ती पाया गया जो पुरािुफ्ती न्जला कौशाम्बी िें बहवाले,
,,,,,,रपट स0ं 30 सिय 14.10 हिनांक 9.5.17 को ि0ु अ0स0ं 235/17 िें,
,,,,,,अहं कत व बववेचना श्रीिान क्षेत्रामधकारी िहोिय चायल िारा सम्पाहित की जा रही है िारा आिेश श्रीिान उपिहामनरीक्षक इला0 प र र क्ष े त्र इ ल ा 0 क े आ ि े श स 0ं स ी ओ ए आ र ब व व े च न ा ( अ ठ ा 0 अ न ु 0 )/2017 हिनांक 27/4/17 ,
,,,,,,,
72,AMBEDKAR NAGAR ,TANDA ,0091/2016 ,JAUNPUR ,SHAHGANJ ,,स्थानान्तरण की गयी 
,,,,,,,
73,TANDA ,0038/2016 ,AMBEDKAR NAGAR ,ALIGANJ ,,िारा आिेश श्रीिान पुमलस अधीक्षक िहोिय अम्बेडकरनगर ,
,,,,,,,
74,TANDA ,0090/2016 ,AMBEDKAR NAGAR ,MAHILA THANA ,,िहहला थाना से सम्बन्न्धत ,
,,,,,,,
75,ALIGANJ ,0125/2015 ,AMBEDKAR NAGAR ,MAHILA THANA ,,बववेचना so िहहला थाना िारा की जारही थी ,
,,,,,,,
76,ALIGANJ ,0000/2016 ,AMBEDKAR NAGAR ,TANDA ,,घटना स्थल तहसील पररषर टांडा का होने के कारण ,
,,,,,,,
77,ALIGANJ ,0070/2016 ,AMBEDKAR NAGAR ,TANDA ,,वािी के अनुरोध पर ,
,,,,,,,
78,ALIGANJ ,0000/2017 ,AMBEDKAR NAGAR ,TANDA ,,बववेचना कोतवाली टांडा िें प्रचमलत है व घटना स्थल कोतवाली टांडा क्षेत्र का है ,
,,,,,,,
79,AMETHI ,SANGRAMPUR ,0552/2016 ,AMETHI ,AMETHI ,,आिेशानुसार श्रीिान पुमलस अधीक्षक िहोिय 
,,,,,,,
80,SANGRAMPUR ,0340/2017 ,AMETHI ,AMETHI ,,श्रीिान पुमलस अधीक्षक िहोिय के आिे शानुसार ,
,,,,,,,
81,BAZARSHUKUL ,0937/2016 ,AMETHI ,BAZARSHUKUL ,,बववेचक के स्थानान्तरण पर चले जाने के कारण नये बववेचक को सुपुिट करने हेतु ,
,,,,,,,
82,KAMRAULI ,0258/2015 ,AMETHI ,MOHANGANJ ,,बववेचना हेतु ,
,,,,,,,
83,JAYAS ,0110/2015 ,AMETHI ,SANGRAMPUR ,0510/2015 ,सम्बन्न्धत िुकििें का घटना स्थल थाना संग्रािपुर होने के कारण बववेचना स्थानान्तररत हकया जा रहा है ,
,,,,,,,
84,MUNSHIGANJ ,0192/2016 ,LUCKNOW ,MOHANLALGANJ ,0339/2016 ,FOR INVESTIGATION ,
,,,,,,,
85,AMROHA ,DHANAURA ,0116/2017 ,ALLAHABAD ,COLONALGANJ ,,घटनास्थल थाना कनलट गंज का होने के कारण 
,,,,,,,
86,NAUGAWAN SADAT ,0127/2015 ,HAPUR ,BAHADURGARH ,0236/2015 ,बववेचना से ज्ञात हुआ हक अमभयोग िे प्रारन्म्भक धटना स्थल थाना बहािरु गढ जनपि हापुड से प्रारम्भ हुआ। है अतः बववेचना स्थानातररत की जाती है। ,
,,,,,,,
87,DIDOLI ,0323/2016 ,MORADABAD ,PAKBARA ,0253/2017 ,घटनास्थल थाना पाकवाडा िुरािाबाि से सम्बन्न्धत होने के कारण बववेचना थाना पाकबाडा िुरािाबाि से ही की जायेगी ,
,,,,,,,
88,GAJRAULA ,0561/2015 ,AMROHA ,HASANPUR ,,श्रीिान पुमलस अधीक्षक िहोिय िारा आिेश के उपरान्त 05/01/16 को परन्तु online हिनांक 09.03.17 ,
,,,,,,,
89,GAJRAULA ,0570/2015 ,AMROHA ,MAHILA THANA ,,िहहला सम्बन्न्धत अपराध होने के कारण िहहला थाना स्थानान्तरण हकया जाता है। ,
,,,,,,,
90,GAJRAULA ,0264/2016 ,AMROHA ,MAHILA THANA ,,अपराध िहहला सम्बन्धी होने के कारण ,
,,,,,,,
91,HASANPUR ,0399/2017 ,AMROHA ,AMROHA DEHAT ,0254/2017 ,घटना स्थल थाना अिरोहा िेहात अिरोहा का ग्राि हुसैनपुरा पाये जाने के कारण आिेशानुसार श्रीिान पुमलस अधीक्षक िहोिय जनपि अिरोहा के उक्त अमभयोग थाना अिरोहा िेहात अिरोहा को स्थानान्तररत हकया जाता है। ,
,,,,,,,
92,NAUGAWAN SADAT ,0282/2016 ,AMROHA ,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण उच्चामधकारीगणो के आिे शानुसार ,
,,,,,,,
93,RAJABPUR ,0290/2015 ,AMROHA ,GAJRAULA ,0442/2016 ,उक्त अमभयोग का घटना स्थल गुरू नानक ढाबा गजरौला थाना गजरौला होने के कारण िुकििा उपरोक्त की बववेचना तत्काल प्रभाव से थाना गजरौला स्थानान्न्तरत की जा रही है ,
,,,,,,,
94,AMROHA DEHAT ,0149/2015 ,AMROHA ,AMROHA DEHAT ,,बबिारी के कारण ,
,,,,,,,
95,AMROHA DEHAT ,0196/2015 ,AMROHA ,RAJABPUR ,,घटना स्थल रजबपुर होने के कारण पुमलस अधीक्षक िहोिय के आिेश से ,
,,,,,,,
96,AMROHA DEHAT ,0324/2015 ,AMROHA ,NAUGAWAN SADAT ,,उच्च अमध0गण के आिेश िारा ,
,,,,,,,
97,AMROHA NAGAR ,7001/2017 ,AMROHA ,DIDOLI ,,श्रीिान जी उक्त प्राथमिकी का घटनास्थल थाना हडडौली जनपि अिरोहा से सम्बन्न्धत है। अतः प्राथमिकी को थाना हडडौली को प्रेबषत हकया जाता है। ,
,,,,,,,
98,BACHHRAUN ,0251/2016 ,AMROHA ,DHANAURA ,,घटना स्थल थाना धनौरा का होना पाया गया । ,
,,,,,,,
99,AMROHA DEHAT ,0303/2017 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-49 ,,उक्त अमभयोग का घटना स्थल ग्राि बरौला है जो थाना सैक्टर 49 जनपि नोएडा िें पडता है। अतः घटना स्थल थाना सैक्टर49 का होने के कारण िुकििा स्थानान्तररत हकया जाता है ,
,,,,,,,
100,AURAIYA ,DEBIAPUR ,7001/2016 ,ETAWAH ,GRP ETAWAH ,,घटनास्थल जीआरपी का होने के कारण एफआईआर को जीआरपी थाना इटावा स्थानान्तरण करना पडा 
,,,,,,,
101,AJITMAL ,0213/2015 ,AURAIYA ,MAHILA THANA ,,चहू क यह िुकििा िहहला से संबन्न्धत है ,
,,,,,,,
102,AURAIYA ,0393/2015 ,AURAIYA ,AURAIYA ,,उपमनरीक्षक िानवेन्र मसंह के अवकाश पर होने की वजह से ,
,,,,,,,
103,BELA ,0017/2016 ,AURAIYA ,BELA ,,एसआई बवनोि कुिार ,
,,,,,,,
104,BELA ,0274/2016 ,AURAIYA ,BELA ,,बववेचना सम्बन्धी कायट हेतु ,
,,,,,,,
105,BIDHUNA ,0238/2017 ,AURAIYA ,BIDHUNA ,,बववेचक की आईडी िे न हिखने के कारण ,
,,,,,,,
106,AZAMGARH ,RAUNAPAR ,0041/2017 ,AZAMGARH ,RAUNAPAR ,,बववेचना हेतु 
,,,,,,,
107,SIDHARI ,0109/2016 ,AZAMGARH ,RANI-KI-SARAI ,,वािी िुकििा स्वयं थानाध्यक्ष होने के कारण ,
,,,,,,,
108,SIDHARI ,0110/2016 ,AZAMGARH ,RANI-KI-SARAI ,,वािी िुकििा स्वयं थानाध्यक्ष के कारण व हस्व आिेश श्रीिान पुमलस अधीक्षक के कारण ,
,,,,,,,
109,SIDHARI ,0111/2016 ,AZAMGARH ,RANI-KI-SARAI ,,हस्व आिेश श्रीिान पुमलस अमधअक्षक िहोिय ,
,,,,,,,
110,SIDHARI ,0112/2016 ,AZAMGARH ,RANI-KI-SARAI ,,श्रीिान पुमलस अधीक्षक िहोिय के आिेश के अनुपालन िें ,
,,,,,,,
111,KAPTANGANJ ,0084/2016 ,AZAMGARH ,KOTWALI ,,िाल बराििगी का सम्बनध थाना कोतवाली से है। ,
,,,,,,,
112,ATRAULIA ,0178/2015 ,AZAMGARH ,KAPTANGANJ ,0158/2015 ,बववेचना से घटना का सम्बन्ध थाना कप्तानगंज आजिगढ़ पाए जाने के कारण आिेशानुसार श्रीिान पुमलस अधीक्षक िहोिय ,
,,,,,,,
113,JEANPUR ,9998/2015 ,AZAMGARH ,KOTWALI ,0300/2015 ,घटना स्थल कोतवाली सिर आजिगढ़ पाये जाने पर आजिगढ़ कोतवाली उमचत िाध्यि भेजा गया। ,
,,,,,,,
114,JEANPUR ,9999/2015 ,AZAMGARH ,KOTWALI ,0255/2015 ,घटना स्थल कोतवाली क्षेत्र आजिगढ़ का होने के कारण । ,
,,,,,,,
115,JEANPUR ,0003/2016 ,AZAMGARH ,KOTWALI ,,घटना स्थल थाना कोतवाली से सम्बन्न्धत है। ,
,,,,,,,
116,JAHANAGANJ ,0213/2015 ,GHAZIPUR ,KHANPUR ,,घटना स्थल मसधौना रेलवे क्रमसंग थना खानपुर जनपि गाजीपुर होने के कारण ,
,,,,,,,
117,JEANPUR ,0221/2016 ,MAU ,MOHAMMADABAD GOHANA ,,घटनास्थल थाना िुहम्ििाबाि का पाया गया। ,
,,,,,,,
118,JEANPUR ,0264/2016 ,GORAKHPUR ,KOTWALI ,,िुकििा उपरोक्त ि0ु अ0स0ं 370/16 धारा 406 IPC कोतवाली गोरखपुर से सम्बन्न्धत होने के कारण स्थान्तररत थाना कोतावली गोरखपुर हकया गया है। ,
,,,,,,,
119,KAPTANGANJ ,0085/2016 ,AMBEDKAR NAGAR ,MALIPUR ,,बरािि िोटरसाईहकल का सम्बन्ध थाना िालीपुर से है। ,
,,,,,,,
120,BADAUN ,BISAULI ,0483/2015 ,BADAUN ,FAIZ GANJ BEHATA ,,"थानाध्यक्ष का वािी होने के कारण क्षेत्रामधकारी बबसौली, बिायूाँ के आिेशानुसा स्थानान्तररत हकया ज रहा है। "
,,,,,,,
,,,,,,,
BADAUN ,,,,,,,
,,,,,,,
121,,BISAULI ,0484/2015 ,BADAUN ,FAIZ GANJ BEHATA ,,"इस िुकििें िें वािी थानाध्यक्ष श्री कश्िीर मसंह यािव बबसौली, बिायूाँ का होने के कारण यह िुकििा बववेचना हेतु क्षेत्रामधकारी बबसौली,बिायूं के आिेशानुसार थाना फैजगंज बेहटा को स्तानान्तररत हकया जा रहा है। "
,,,,,,,
122,BISAULI ,0485/2015 ,BADAUN ,FAIZ GANJ BEHATA ,,"थानाध्यक्ष का वािी होने के कारण क्षेत्रामधकारी बबसौली, बिायूाँ के आिेशानुसा थाना फैजगंज बेहटा को स्थानान्तररत हकया ज रहा है। ",
,,,,,,,
123,BISAULI ,0520/2015 ,BADAUN ,MAHILA THANA ,,िहहला उत्पीडन सम्बन्धी अपराध होने के कारण बबवेचना िहहला थाना बिायूाँ को ट्रान्सफर की जा रही है । ,
,,,,,,,
124,ISLAM NAGAR ,0237/2016 ,BADAUN ,ISLAM NAGAR ,,transfer to investigation ,
,,,,,,,
125,KOTWALI ,0501/2017 ,BADAUN ,CIVIL LINES ,,घटना स्थला थाना मस0ला0 बिायूाँ का होने के कारण ,
,,,,,,,
126,UJHANI ,1598/2015 ,FIROZABAD ,NARKHI ,,ट्रक को चोरी न्ज0 हफरोजाबाि के थाना नारखी क्षेत्र से की गयी ,
,,,,,,,
127,BAGHPAT ,SINGHAWLI AHIR ,0039/2015 ,BAGHPAT ,BINAULI ,,जांच स्थानातरण 
,,,,,,,
128,BAGHPAT ,0410/2016 ,BAGHPAT ,BAGHPAT ,,due to the problem of ID. now show on the police station ,
,,,,,,,
129,CHHAPRAULI ,0055/2015 ,BAGHPAT ,MAHILA THANA ,,कयोहक धारा 498 ए का िुकििे की जााँच िहहला थाना से होती है ,
,,,,,,,
130,BAHRAICH ,NAWABGANJ ,1468/2017 ,SHRAVASTI ,MALHIPUR ,,घटनास्थल थाना िल्हीपुर जनपि श्रावस्ती होने के कारण प्राथमिकी स्थानातरण की गयी । पुमलस अमधक्षक िहोिय के आिे शानुसार 
,,,,,,,
131,BALLIA ,GRP BALLIYA ,1003/2016 ,JAUNPUR ,GRP JAUNPUR ,,घटनास्थल रेलवे स्टेशन शाहगंज अन्तगतट थाना जी0आर0पी0 जौनपुर का होने के कारण 
,,,,,,,
132,GRP BALLIYA ,1021/2016 ,JAUNPUR ,GRP JAUNPUR ,,घटना स्थल रेलवे स्टेशन शाहगंज थाना जी0आर0पी जौनपुर होने के कारण ,
,,,,,,,
133,GRP BALLIYA ,1002/2017 ,JAUNPUR ,GRP JAUNPUR ,,घटना स्थल चौकी जीआरपी शाहगंज थाना जीआरपी जौनपुर का होना पाया गया। ,
,,,,,,,
134,GRP BALLIYA ,1004/2017 ,JAUNPUR ,GRP JAUNPUR ,,घटना स्थल थाना क्षेत्र जीआरपी जौनपुर का होना पाया गया ,
,,,,,,,
135,GRP BALLIYA ,1014/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थानाक्षेत्र जीआरपी कानपुर का होना पाया गया। ,
,,,,,,,
136,GRP BALLIYA ,1001/2016 ,KANPUR CITY ,GRP KANPUR ,,घटनास्थल के आधार पर ,
,,,,,,,
137,GRP BALLIYA ,1013/2016 ,BALLIA ,KOTWALI ,,घटना स्थल थानाक्षेत्र कोतवाली बमलया का होना पाया गया। ,
,,,,,,,
138,GRP BALLIYA ,1015/2016 ,BALLIA ,KOTWALI ,,घटना स्थल थाना कोतवाली क्षेत्र का होना ,
,,,,,,,
139,GRP BALLIYA ,1018/2016 ,BALLIA ,KOTWALI ,,घटना स्थल थाना कोतवाली बमलया क्षेत्र होने के कारण ,
,,,,,,,
140,BANSDEEH ,0532/2017 ,BALLIA ,BANSDEEH ROAD ,,िुकििा बांसडीह रोड से सम्बन्न्धत है । ,
,,,,,,,
141,BAIRIA ,0190/2016 ,BALLIA ,REOTI ,,िुकििा थाना रेवती जनपि बमलया से सम्बन्न्धत है ,
,,,,,,,
142,BAIRIA ,0201/2017 ,BALLIA ,KOTWALI ,,िुकििा कोतवाली बमलया से सम्बन्न्धत होने के कारण कोतवाली बमलया स्थानांतरण हकया जा रहा है ,
,,,,,,,
143,BAIRIA ,0494/2015 ,BALLIA ,KOTWALI ,,कोतवाली बमलया से सम्बन्न्धत होने के कारण ,
,,,,,,,
144,DUBHAR ,0000/2017 ,BALLIA ,SAHATWAR ,,घटनास्थल खानपुर डुिररया थाना सहतवार का है। ,
,,,,,,,
145,DUBHAR ,0900/2017 ,BALLIA ,GADWAR ,0504/2017 ,िुकििा थाना गडवार से सम्बन्न्धत है ,
,,,,,,,
