Sl No,REGISTERED DISTRICT,Registered PS,FIR No.,TRANSFERRED DISTRICT,Transferred PS,Re registered FIR No.,Reason for transferring FIR,Location,Latitude,Longitude
98,BACHHRAUN,AMROHA,0251/2016,DHANAURA,,घटना स्थल थाना धनौरा का होना पाया गया ।,,"BACHHRAUN ,AMROHA ",28.9260272,78.2333743
99,AMROHA DEHAT,GAUTAM BUDH NAGAR,0303/2017,NOIDA SECTOR-49,,उक्त अमभयोग का घटना स्थल ग्राि बरौला है जो थाना सैक्टर 49 जनपि नोएडा िें पडता है। अतः घटना स्थल थाना सैक्टर49 का होने के कारण िुकििा स्थानान्तररत हकया जाता है,,"AMROHA DEHAT ,GAUTAM BUDH NAGAR ",28.338333,77.6077865
101,AJITMAL,AURAIYA,0213/2015,MAHILA THANA,,चहू क यह िुकििा िहहला से संबन्न्धत है,,"AJITMAL ,AURAIYA ",26.5706587,79.3130972
102,AURAIYA,AURAIYA,0393/2015,AURAIYA,,उपमनरीक्षक िानवेन्र मसंह के अवकाश पर होने की वजह से,,"AURAIYA ,AURAIYA ",26.4605377,79.5112528
103,BELA,AURAIYA,0017/2016,BELA,,एसआई बवनोि कुिार,,"BELA ,AURAIYA ",26.8287377,79.6740663
104,BELA,AURAIYA,0274/2016,BELA,,बववेचना सम्बन्धी कायट हेतु,,"BELA ,AURAIYA ",26.8287377,79.6740663
105,BIDHUNA,AURAIYA,0238/2017,BIDHUNA,,बववेचक की आईडी िे न हिखने के कारण,,"BIDHUNA ,AURAIYA ",26.8030435,79.5055246
107,SIDHARI,AZAMGARH,0109/2016,RANI-KI-SARAI,,वािी िुकििा स्वयं थानाध्यक्ष होने के कारण,,"SIDHARI ,AZAMGARH ",26.0487819,83.1930739
108,SIDHARI,AZAMGARH,0110/2016,RANI-KI-SARAI,,वािी िुकििा स्वयं थानाध्यक्ष के कारण व हस्व आिेश श्रीिान पुमलस अधीक्षक के कारण,,"SIDHARI ,AZAMGARH ",26.0487819,83.1930739
109,SIDHARI,AZAMGARH,0111/2016,RANI-KI-SARAI,,हस्व आिेश श्रीिान पुमलस अमधअक्षक िहोिय,,"SIDHARI ,AZAMGARH ",26.0487819,83.1930739
110,SIDHARI,AZAMGARH,0112/2016,RANI-KI-SARAI,,श्रीिान पुमलस अधीक्षक िहोिय के आिेश के अनुपालन िें,,"SIDHARI ,AZAMGARH ",26.0487819,83.1930739
111,KAPTANGANJ,AZAMGARH,0084/2016,KOTWALI,,िाल बराििगी का सम्बनध थाना कोतवाली से है।,,"KAPTANGANJ ,AZAMGARH ",26.191993,83.0978679
112,ATRAULIA,AZAMGARH,0178/2015,KAPTANGANJ,0158/2015,बववेचना से घटना का सम्बन्ध थाना कप्तानगंज आजिगढ़ पाए जाने के कारण आिेशानुसार श्रीिान पुमलस अधीक्षक िहोिय,,"ATRAULIA ,AZAMGARH ",26.3337289,82.9467948
113,JEANPUR,AZAMGARH,9998/2015,KOTWALI,0300/2015,घटना स्थल कोतवाली सिर आजिगढ़ पाये जाने पर आजिगढ़ कोतवाली उमचत िाध्यि भेजा गया।,,"JEANPUR ,AZAMGARH ",26.1545303,83.3321786
114,JEANPUR,AZAMGARH,9999/2015,KOTWALI,0255/2015,घटना स्थल कोतवाली क्षेत्र आजिगढ़ का होने के कारण ।,,"JEANPUR ,AZAMGARH ",26.1545303,83.3321786
115,JEANPUR,AZAMGARH,0003/2016,KOTWALI,,घटना स्थल थाना कोतवाली से सम्बन्न्धत है।,,"JEANPUR ,AZAMGARH ",26.1545303,83.3321786
116,JAHANAGANJ,GHAZIPUR,0213/2015,KHANPUR,,घटना स्थल मसधौना रेलवे क्रमसंग थना खानपुर जनपि गाजीपुर होने के कारण,,"JAHANAGANJ ,GHAZIPUR ",25.9600981,83.2722763
117,JEANPUR,MAU,0221/2016,MOHAMMADABAD GOHANA,,घटनास्थल थाना िुहम्ििाबाि का पाया गया।,,"JEANPUR ,MAU ",26.1545303,83.3321786
118,JEANPUR,GORAKHPUR,0264/2016,KOTWALI,,िुकििा उपरोक्त ि0ु अ0स0ं 370/16 धारा 406 IPC कोतवाली गोरखपुर से सम्बन्न्धत होने के कारण स्थान्तररत थाना कोतावली गोरखपुर हकया गया है।,,"JEANPUR ,GORAKHPUR ",26.7605545,83.3731675
119,KAPTANGANJ,AMBEDKAR NAGAR,0085/2016,MALIPUR,,बरािि िोटरसाईहकल का सम्बन्ध थाना िालीपुर से है।,,"KAPTANGANJ ,AMBEDKAR NAGAR ",26.9270041,83.7137223
122,BISAULI,BADAUN,0485/2015,FAIZ GANJ BEHATA,,"थानाध्यक्ष का वािी होने के कारण क्षेत्रामधकारी बबसौली, बिायूाँ के आिेशानुसा थाना फैजगंज बेहटा को स्थानान्तररत हकया ज रहा है। ",,"BISAULI ,BADAUN ",28.2978317,78.9344814
123,BISAULI,BADAUN,0520/2015,MAHILA THANA,,िहहला उत्पीडन सम्बन्धी अपराध होने के कारण बबवेचना िहहला थाना बिायूाँ को ट्रान्सफर की जा रही है ।,,"BISAULI ,BADAUN ",28.2978317,78.9344814
124,ISLAM NAGAR,BADAUN,0237/2016,ISLAM NAGAR,,transfer to investigation,,"ISLAM NAGAR ,BADAUN ",28.3288811,78.7239289
125,KOTWALI,BADAUN,0501/2017,CIVIL LINES,,घटना स्थला थाना मस0ला0 बिायूाँ का होने के कारण,,"KOTWALI ,BADAUN ",28.0377973,79.1239564
126,UJHANI,FIROZABAD,1598/2015,NARKHI,,ट्रक को चोरी न्ज0 हफरोजाबाि के थाना नारखी क्षेत्र से की गयी,,"UJHANI ,FIROZABAD ",27.1591961,78.3957331
128,BAGHPAT,BAGHPAT,0410/2016,BAGHPAT,,due to the problem of ID. now show on the police station,,"BAGHPAT ,BAGHPAT ",28.9427827,77.227607
129,CHHAPRAULI,BAGHPAT,0055/2015,MAHILA THANA,,कयोहक धारा 498 ए का िुकििे की जााँच िहहला थाना से होती है,,"CHHAPRAULI ,BAGHPAT ",29.209055,77.1772737
132,GRP BALLIYA,JAUNPUR,1021/2016,GRP JAUNPUR,,घटना स्थल रेलवे स्टेशन शाहगंज थाना जी0आर0पी जौनपुर होने के कारण,,"GRP BALLIYA ,JAUNPUR ",25.7464145,82.6837033
133,GRP BALLIYA,JAUNPUR,1002/2017,GRP JAUNPUR,,घटना स्थल चौकी जीआरपी शाहगंज थाना जीआरपी जौनपुर का होना पाया गया।,,"GRP BALLIYA ,JAUNPUR ",25.7464145,82.6837033
134,GRP BALLIYA,JAUNPUR,1004/2017,GRP JAUNPUR,,घटना स्थल थाना क्षेत्र जीआरपी जौनपुर का होना पाया गया,,"GRP BALLIYA ,JAUNPUR ",25.7464145,82.6837033
135,GRP BALLIYA,KANPUR CITY,1014/2016,GRP KANPUR,,घटना स्थल थानाक्षेत्र जीआरपी कानपुर का होना पाया गया।,,"GRP BALLIYA ,KANPUR CITY ",26.449923,80.3318736
136,GRP BALLIYA,KANPUR CITY,1001/2016,GRP KANPUR,,घटनास्थल के आधार पर,,"GRP BALLIYA ,KANPUR CITY ",26.449923,80.3318736
137,GRP BALLIYA,BALLIA,1013/2016,KOTWALI,,घटना स्थल थानाक्षेत्र कोतवाली बमलया का होना पाया गया।,,"GRP BALLIYA ,BALLIA ",28.2006882,79.3651914
138,GRP BALLIYA,BALLIA,1015/2016,KOTWALI,,घटना स्थल थाना कोतवाली क्षेत्र का होना,,"GRP BALLIYA ,BALLIA ",28.2006882,79.3651914
139,GRP BALLIYA,BALLIA,1018/2016,KOTWALI,,घटना स्थल थाना कोतवाली बमलया क्षेत्र होने के कारण,,"GRP BALLIYA ,BALLIA ",28.2006882,79.3651914
140,BANSDEEH,BALLIA,0532/2017,BANSDEEH ROAD,,िुकििा बांसडीह रोड से सम्बन्न्धत है ।,,"BANSDEEH ,BALLIA ",25.88233,84.2178944
141,BAIRIA,BALLIA,0190/2016,REOTI,,िुकििा थाना रेवती जनपि बमलया से सम्बन्न्धत है,,"BAIRIA ,BALLIA ",25.767488,84.4820879
142,BAIRIA,BALLIA,0201/2017,KOTWALI,,िुकििा कोतवाली बमलया से सम्बन्न्धत होने के कारण कोतवाली बमलया स्थानांतरण हकया जा रहा है,,"BAIRIA ,BALLIA ",25.767488,84.4820879
143,BAIRIA,BALLIA,0494/2015,KOTWALI,,कोतवाली बमलया से सम्बन्न्धत होने के कारण,,"BAIRIA ,BALLIA ",25.767488,84.4820879
144,DUBHAR,BALLIA,0000/2017,SAHATWAR,,घटनास्थल खानपुर डुिररया थाना सहतवार का है।,,"DUBHAR ,BALLIA ",25.7488566,84.239734
145,DUBHAR,BALLIA,0900/2017,GADWAR,0504/2017,िुकििा थाना गडवार से सम्बन्न्धत है,,"DUBHAR ,BALLIA ",25.7488566,84.239734
146,GRP BALLIYA,GHAZIPUR,0004/2015,GRP GHAZIPUR,,घटनास्थल के आधार पर,,"GRP BALLIYA ,GHAZIPUR ",25.5877901,83.5783078
147,GRP BALLIYA,GHAZIPUR,1016/2016,GRP GHAZIPUR,,घटना स्थल जीआरपी क्षेत्र होने के कारण,,"GRP BALLIYA ,GHAZIPUR ",25.5877901,83.5783078
148,PAKARI,BALLIA,0202/2016,PAKARI,,जााँच अमधकारी की id न बनने के कारण,,"PAKARI ,BALLIA ",28.2006882,79.3651914
149,RASRA,BALLIA,0325/2015,NAGRA,,श्रीिान क्षेत्रामधकारी िहोिय के आिेश के अनुसार,,"RASRA ,BALLIA ",25.8591065,83.855467
150,SAHATWAR,BALLIA,0000/2015,GRP BALLIYA,0099/2016,घटनास्थल GRP बमलया से सम्बन्न्धत,,"SAHATWAR ,BALLIA ",25.8383497,84.3042333
151,GRP BALLIYA,GHAZIPUR,1010/2017,GRP GHAZIPUR,,घटना स्थल थाना जीआरपी क्षेत्र गाजीपुर मसटी का होना पाया गया,,"GRP BALLIYA ,GHAZIPUR ",25.5877901,83.5783078
152,UBHAON,BALLIA,0573/2017,MANIAR,0511/2017,आिेश उच्चामधकारीयों,,"UBHAON ,BALLIA ",26.1348018,83.8651943
153,GRP BALLIYA,FAIZABAD,0002/2015,GRP FAIZABAD,,घटनास्थल क्षेत्रामधकार जी0आर0पी0 फै जाबाि का होने के कारण,,"GRP BALLIYA ,FAIZABAD ",26.7729751,82.1457934
154,GRP BALLIYA,FAIZABAD,0006/2015,GRP FAIZABAD,,घटनास्थल के आधार पर,,"GRP BALLIYA ,FAIZABAD ",26.7729751,82.1457934
155,GRP BALLIYA,ALLAHABAD,1002/2016,GRP ALLAHABAD,,घटनास्थल के आधार पर,,"GRP BALLIYA ,ALLAHABAD ",25.4358011,81.846311
156,GRP BALLIYA,ALLAHABAD,1005/2016,GRP ALLAHABAD,,घटनास्थल जी0आर0पी0 इलाहाबाि का होने के कारण,,"GRP BALLIYA ,ALLAHABAD ",25.4358011,81.846311
157,GRP BALLIYA,ALLAHABAD,1010/2016,GRP ALLAHABAD,,घटना स्थल थानाक्षेत्र जीआरपी इलाहाबाि का होना पाया गया।,,"GRP BALLIYA ,ALLAHABAD ",25.4358011,81.846311
158,GRP BALLIYA,ALLAHABAD,0000/2015,GRP ALLAHABAD,,घटनास्थल क्षेत्रामधकार जी0आर0पी0 इलाहाबाि होने के कारण,,"GRP BALLIYA ,ALLAHABAD ",25.4358011,81.846311
159,GRP BALLIYA,BARABANKI,0007/2015,GRP BARABANKI,,घटनास्थल के आधार पर,,"GRP BALLIYA ,BARABANKI ",26.683909,81.4841923
160,GRP BALLIYA,MORADABAD,0003/2015,GRP MORADABAD,0516/2015,घटनास्थल क्षेत्रामधकार जी0आर0पी0 िुरािाबाि का होने के कारण,,"GRP BALLIYA ,MORADABAD ",28.8386481,78.7733286
161,GRP BALLIYA,MORADABAD,0001/2015,GRP MORADABAD,0495/2015,घटनास्थल क्षेत्रामधकार जी0आर0पी0 िुरािाबाि होने के कारण,,"GRP BALLIYA ,MORADABAD ",28.8386481,78.7733286
162,GRP BALLIYA,MAU,1019/2016,GRP MAU,,घटना थानाक्षेत्र जीआरपी िऊ होना पाया गया।,,"GRP BALLIYA ,MAU ",25.9462838,83.5610119
163,GRP BALLIYA,MAU,1022/2016,GRP MAU,0985/2016,घटना थाना क्षेत्र जीआरपी िऊ,,"GRP BALLIYA ,MAU ",25.9462838,83.5610119
164,GRP BALLIYA,VARANASI,1013/2017,GRP VARANASI CANTT.,,घटना स्थल थाना जीआरपी क्षेत्र वाराणसी कै ण्ट का होना पाया गया।,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
165,GRP BALLIYA,VARANASI,1003/2017,GRP VARANASI CANTT.,,घटना थाना जीआरपी वाराणसी कै ण्ट का होना पाया गया।,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
166,GRP BALLIYA,VARANASI,1009/2017,GRP VARANASI CANTT.,,घटना थाना जीआरपी कै ण्ट का होना पाया गया।,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
167,GRP BALLIYA,VARANASI,1017/2016,GRP VARANASI CANTT.,,घटना स्थल जीआरपी वाराणसी कै ण्ट क्षेत्र होने के कारण,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
168,GRP BALLIYA,VARANASI,1023/2016,GRP VARANASI CANTT.,,घटना स्थल थानाक्षेत्र जीआरपी कै ण्ट को होना पाया गया।,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
169,GRP BALLIYA,VARANASI,0008/2015,GRP VARANASI CANTT.,,घटनास्थल के आधार पर,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
170,GRP BALLIYA,VARANASI,1004/2016,GRP VARANASI CANTT.,,घटनास्थल जी0आर0पी0 वाराणसी कै ण्ट का होने के कारण,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
171,GRP BALLIYA,VARANASI,1007/2016,GRP VARANASI CANTT.,,घटनास्थल के आधार पर,,"GRP BALLIYA ,VARANASI ",25.3176452,82.9739144
172,GRP BALLIYA,AMBEDKAR NAGAR,0005/2015,GRP AKBARPUR,,घटनास्थल के आधार पर,,"GRP BALLIYA ,AMBEDKAR NAGAR ",26.3745075,82.6915429
173,GRP BALLIYA,AMBEDKAR NAGAR,1020/2016,GRP AKBARPUR,,घटना स्थल रेलवे स्टेशऩ फैजाबाि व रेलवे स्टेशन अकबरपुर के िध्य होने के कारण,,"GRP BALLIYA ,AMBEDKAR NAGAR ",26.3745075,82.6915429
